,subject,name,review,time,location,sentiments
1226,Couldn't pick a fault if we tried!!,S4128OYkevinj,Hotel was incredible. Iconic infinity pool and Spago Restaurant on 57th floor were awesome. Views of city and port were best in Singapore. High tech hotel with everything a person could desire available on the premises. Great location for everything I was interested in seeing....More,Reviewed 15 August 2017 ,"Plymouth, United Kingdom",Positive
1227,Great hotel with fantastic pool...but expensive,rchughes,"Dear Kathy L,

Thank you for your positive review. 

I am delighted to note that you enjoyed your stay at Marina Bay Sands, especially enjoying your dining experience at celebrity chef restaurant Spago by Wolfgang Puck and your time spent at the Sands SkyPark infinity...More",Reviewed 14 August 2017 ,Bletchley,Positive
1228,Simply amazing ,Eilidh O,"I’m very satisfied about hotel’s service, many shopping & delicious food. I will be back as soon as possible. Room is nice view, we spent amazing trip & romatic in my birthday.
Hotel staff is so nice when they support or instruction us anything.More",Reviewed 14 August 2017 ,Dunoon,Positive
1229,Amazing,FawkeOnTour,"Dear phamj2015,

Thank you for your positive review and for the privilege of hosting you on this special occasion. 

I am glad to read that you enjoyed your appointed accommodation and that our Team Members provided you with consistently excellent service which helped to enhance...More",Reviewed 13 August 2017 ,Warlingham,Positive
1230,Amazing hotel but...,Yehya E,"We stayed a couple of days as a stopover on the way home.  Impressive Hotel and even more impressive view from the famous pool.  However as impressive as it was it was very impersonal, I think that it is so large it looses its appeal...More",Reviewed 13 August 2017 ,None,Positive
1231,Great receptionist ,Lew W,"Thank you for your review, Michelle C. 

I am happy to note that you enjoyed your stay at Marina Bay Sands, especially enjoying your time spent at the Sands SkyPark infinity pool. I am also glad to read that our Team Members provided you with...More",Reviewed 13 August 2017 ,None,Positive
1232,Amazing,Merle A,"We stayed at Marina Bay Sand for 1 night, the room was nice and spacious. Everything in general reached our expectation during the stay including the staffs and hotel facilities. One thing is on the night we stayed it was during weekend so the pool...More",Reviewed 13 August 2017 ,"Wollongong, Australia",Positive
1233,Amazing ,Ali S,"Dear pimtawan i,

Thank you for sharing your review on TripAdvisor. 

I am glad to learn that you enjoyed your overall stay at Marina Bay Sands, especially enjoying your appointed accommodation, and that our Team Members' service standards consistently exceeded your expectations. I would also...More",Reviewed 13 August 2017 ,None,Positive
1234,Worst hotel experience ever. ,Hessa A,"This is a great hotel. Great rooms, exceptional staff and the pool is incredible. It was my third stay here and it delivers every time. During the short wait to check in, staff were offering us and our children free icecreams and drinks.More",Reviewed 13 August 2017 ,None,Positive
1235,Perfect quality for so big hotel,SergeShall,"Dear BENJAMIN V,

Thank you for your kind review and for your continued patronage of Marina Bay Sands. 

I am glad to note that you enjoyed your most recent stay with us, particularly enjoying your appointed accomodation and your time spent at the Sands SkyPark...More",Reviewed 12 August 2017 ,"Dubai, United Arab Emirates",Positive
1236,Icon of Singapore ,Marcos R,My family and I stayed at Marina Bay Sands for 2 nights on a stop over on our way to Europe and we absolutely LOVED it!  We stayed in a family room which was very spacious and so comfortable.  No detail was spared in the...More,Reviewed 12 August 2017 ,"Doha, Qatar",Positive
1237,Almost perfection,Peaspatula,"Dear Lourdes B,

Thank you for your delightful review. 

I am thrilled to learn that you and your family enjoyed a lovely stay at Marina Bay Sands, particularly enjoying your appointed family room and your time spent at the Sands SkyPark infinity pool and Banyan...More",Reviewed 12 August 2017 ,"London, United Kingdom",Positive
1238,Spectacular,Brendon Y,"As a family holidaying in Asia we debated whether it was worth spending the extra cash to stay at this hotel and on balance decided to do so.  It was totally worth it and exceeded all expectations.  The service was splendid, the staff super friendly...More",Reviewed 12 August 2017 ,"Newcastle, Australia",Positive
1239,Holiday,Bernard C,"Thank you for your positive review, redrosiejo.

I am happy to read that you and your family thoroughly enjoyed your stay at Marina Bay Sands, especially enjoying your time spent at the Sands SkyPark infinity pool. I am also glad to note that our Team...More",Reviewed 11 August 2017 ,"Hervey Bay, Australia",Positive
1240,One of Singapore's dominant,Dusando,"Marina Bay Sands is a brilliant hotel to stay in! Yes it can be expensive, so maybe only stay a few nights. You get access to the Infinity Pool on the rooftop which has some great views of the city. Go to the pool when...More",Reviewed 11 August 2017 ,Brno,Positive
1241,Luxury but commercial like Vegas hotels ,BatoolMorales,"Dear Martin H,

Thank you for your kind review and recommendation. 

I am pleased to learn that you enjoyed your stay at Marina Bay Sands, particularly enjoying your time spent at the Sands SkyPark infinity pool. I certainly look forward to welcoming you back in...More",Reviewed 11 August 2017 ,"San Diego, California",Positive
1242,total Rip off..,Graham B,"This is an amazing hotel fantastic views, the best infinity pool I've ever seen.The staff were so friendly and helpful it was a real treat to stay here.
The only downside is that the sun beds get pretty busy and some people were putting their...More",Reviewed 11 August 2017 ,None,Positive
1243,It's a toorist attraction not a luxury hotel,Growlert,"Dear Potgrob,

Thank you for your positive review. 

I am happy to read that you enjoyed your overall stay at Marina Bay Sands and that our Team Members consistently provided you with excellent service which helped to enhance the enjoyment of your stay. Please rest...More",Reviewed 10 August 2017 ,Melbourne,Positive
1244,Family Room was nice,Dian M,"We were so excited about coming here ...went to sky bar only option for vegetarians were in their words chips and spinach leafs !!
Nothing else left on menu other then beef burgers 
Had to wait for what seemed like a eternity for drinks to...More",Reviewed 10 August 2017 ,"Tokyo, Japan",Positive
1245,WORST HOTEL EVER,Steen M,"Dear Sally J,

Thank you for your valued feedback. 

I regret to learn about the challenges that you encountered during your visit. Please rest assured that your feedback is important to us, and that I have shared your comments regarding your dining experience with the...More",Reviewed 10 August 2017 ,"Melbourne, Australia",Positive
1246,Worse service ever,FraVri,"We stayed at the Marina Bay Sands for one night for my wife's 30th birthday and it absolutely exceeded all expectations. This was mainly due to the exceptional service we received from Cindy Go, and her colleague Kateline See. They went above and beyond any...More",Reviewed 10 August 2017 ,"Birmingham, United Kingdom",Positive
1247,"Very Good, and I like",TsarskoyRUS,"Thank you for your delightful review, joc426. 

I am glad to read that you and your loved one thoroughly enjoyed your special occasion stay experience at Marina Bay Sands, especially enjoying your time spent at the Sands SkyPark infinity pool. 

I am also thrilled to...More",Reviewed 9 August 2017 ,"Moscow Oblast, Russia",Positive
1248,Worth The Money For The View !!,tracey69338,I think most people probally only stay one night and go for the pool.  The pool is amazing and best visited in day and at night.  The rooms are ok with some nice touches but have had nicer rooms for a lot less money!  The...More,Reviewed 9 August 2017 ,"Western Ireland, Ireland",Positive
1249,Visit MBS during SG National's Day,Hruos,"Dear Gaynor321,

Thank you for your valued feedback. 

Though I am glad to read that you enjoyed your breakfast on property and your time spent at the Sands SkyPark infinity pool, I am disheartened to learn about the challenges that you encountered during your stay...More",Reviewed 9 August 2017 ,"Singapore, Singapore",Positive
1250,Great view from the pool,Waz D,Visited here on our honeymoon and managed to persuade my new wife to part with the money to stay here for one night & it was certainly worth it. We were very early for check-in and was hoping to just leave our bags there whilst...More,Reviewed 9 August 2017 ,"Canberra, Australia",Positive
